title,pageid,context,rating
Wheelchair tennis at the Summer Paralympics,23743802,"Wheelchair tennis was first contested at the Summer Paralympics as a demonstration sport in 1988, with two events being held (Men's and Women's Singles). It became an official medal-awarding sport in 1992 and has been competed at every Summer Paralympics since then. Four events were held from 1992 to 2000, with quad events (mixed gender) in both singles and doubles added in 2004.",84
Wheelchair tennis at the 1988 Summer Paralympics,19634862,"Wheelchair tennis at the 1988 Summer Paralympics consisted of men's and women's singles events. Despite wheelchair tennis being contested as a demonstration sport, and not an official part of the Paralympic program,medals were awarded and counted for the overall medal list.",33
Wheelchair tennis at the 1992 Summer Paralympics,19600092,Wheelchair tennis at the 1992 Summer Paralympics consisted of four events.,45
Wheelchair tennis at the 1996 Summer Paralympics,19209897,"Wheelchair tennis at the 1996 Summer Paralympics consisted of four events, singles and doubles competitions for men and women.",44
Wheelchair tennis at the 2000 Summer Paralympics,18751193,Wheelchair tennis at the 2000 Summer Paralympics consisted of doubles and singles competitions for men and women.,37
Wheelchair tennis at the 2004 Summer Paralympics,1011383,"Wheelchair Tennis at the 2004 Summer Paralympics was staged at the Olympic Tennis Centre from September 19 to September 26.
There were singles and doubles competitions for men, women and both (mixed). All matches were played to the best of three sets.",19
Wheelchair tennis at the 2008 Summer Paralympics,18403681,Wheelchair tennis at the 2008 Summer Paralympics was held at the Olympic Green Tennis Centre from 8 September to 15 September.,63
Wheelchair tennis at the 2012 Summer Paralympics,34565326,"Wheelchair tennis events at the 2012 Summer Paralympics were held between 1–9 September at Eton Manor, London.",15
Wheelchair tennis at the 2016 Summer Paralympics,48317185,"Wheelchair tennis events at the 2016 Summer Paralympics were held between 8–16 September at Olympic Tennis Centre, Rio. This was the seventh full Paralympic wheelchair tennis competition since the event was introduced in 1992, having been a demonstration event in 1988.",11
Wheelchair tennis at the Summer Paralympics,23743802,"Wheelchair tennis was first contested at the Summer Paralympics as a demonstration sport in 1988, with two events being held (Men's and Women's Singles). It became an official medal-awarding sport in 1992 and has been competed at every Summer Paralympics since then. Four events were held from 1992 to 2000, with quad events (mixed gender) in both singles and doubles added in 2004.",21
Wheelchair tennis at the 1988 Summer Paralympics,19634862,"Wheelchair tennis at the 1988 Summer Paralympics consisted of men's and women's singles events. Despite wheelchair tennis being contested as a demonstration sport, and not an official part of the Paralympic program,medals were awarded and counted for the overall medal list.",22
Wheelchair tennis at the 1992 Summer Paralympics,19600092,Wheelchair tennis at the 1992 Summer Paralympics consisted of four events.,41
Wheelchair tennis at the 1996 Summer Paralympics,19209897,"Wheelchair tennis at the 1996 Summer Paralympics consisted of four events, singles and doubles competitions for men and women.",76
Wheelchair tennis at the 2000 Summer Paralympics,18751193,Wheelchair tennis at the 2000 Summer Paralympics consisted of doubles and singles competitions for men and women.,66
Wheelchair tennis at the 2004 Summer Paralympics,1011383,"Wheelchair Tennis at the 2004 Summer Paralympics was staged at the Olympic Tennis Centre from September 19 to September 26.
There were singles and doubles competitions for men, women and both (mixed). All matches were played to the best of three sets.",95
Wheelchair tennis at the 2008 Summer Paralympics,18403681,Wheelchair tennis at the 2008 Summer Paralympics was held at the Olympic Green Tennis Centre from 8 September to 15 September.,20
Wheelchair tennis at the 2012 Summer Paralympics,34565326,"Wheelchair tennis events at the 2012 Summer Paralympics were held between 1–9 September at Eton Manor, London.",15
Wheelchair tennis at the 2016 Summer Paralympics,48317185,"Wheelchair tennis events at the 2016 Summer Paralympics were held between 8–16 September at Olympic Tennis Centre, Rio. This was the seventh full Paralympic wheelchair tennis competition since the event was introduced in 1992, having been a demonstration event in 1988.",29
Wheelchair tennis at the Summer Paralympics,23743802,"Wheelchair tennis was first contested at the Summer Paralympics as a demonstration sport in 1988, with two events being held (Men's and Women's Singles). It became an official medal-awarding sport in 1992 and has been competed at every Summer Paralympics since then. Four events were held from 1992 to 2000, with quad events (mixed gender) in both singles and doubles added in 2004.",63
Wheelchair tennis at the 1988 Summer Paralympics,19634862,"Wheelchair tennis at the 1988 Summer Paralympics consisted of men's and women's singles events. Despite wheelchair tennis being contested as a demonstration sport, and not an official part of the Paralympic program,medals were awarded and counted for the overall medal list.",10
Wheelchair tennis at the 1992 Summer Paralympics,19600092,Wheelchair tennis at the 1992 Summer Paralympics consisted of four events.,29
Wheelchair tennis at the 1996 Summer Paralympics,19209897,"Wheelchair tennis at the 1996 Summer Paralympics consisted of four events, singles and doubles competitions for men and women.",52
Wheelchair tennis at the 2000 Summer Paralympics,18751193,Wheelchair tennis at the 2000 Summer Paralympics consisted of doubles and singles competitions for men and women.,74
Wheelchair tennis at the 2004 Summer Paralympics,1011383,"Wheelchair Tennis at the 2004 Summer Paralympics was staged at the Olympic Tennis Centre from September 19 to September 26.
There were singles and doubles competitions for men, women and both (mixed). All matches were played to the best of three sets.",40
Wheelchair tennis at the 2008 Summer Paralympics,18403681,Wheelchair tennis at the 2008 Summer Paralympics was held at the Olympic Green Tennis Centre from 8 September to 15 September.,68
Wheelchair tennis at the 2012 Summer Paralympics,34565326,"Wheelchair tennis events at the 2012 Summer Paralympics were held between 1–9 September at Eton Manor, London.",23
Wheelchair tennis at the 2016 Summer Paralympics,48317185,"Wheelchair tennis events at the 2016 Summer Paralympics were held between 8–16 September at Olympic Tennis Centre, Rio. This was the seventh full Paralympic wheelchair tennis competition since the event was introduced in 1992, having been a demonstration event in 1988.",48
UNES FC Barcelona,3607699,"UNES FC Barcelona is a Spanish wheelchair basketball team. It is part of both the FC Barcelona family and the UNES Unió Esportiva.
",85
BSR Valladolid,44839792,"BSR Valladolid, more commonly known by its sponsorship naming Fundación Grupo Norte, is a wheelchair basketball team based in Valladolid, Castile and Léon, Spain.
",38
CD Ilunion,44839033,"Club Deportivo Ilunion, formerly known as Club Deportivo Fundosa ONCE, is a wheelchair basketball team based in Madrid, Spain.
",29
CP Mideba,44845928,"Club Polideportivo Minusválidos Deportistas de Badajoz, more commonly known as Mideba Extremadura, is a wheelchair basketball team based in Badajoz, Extremadura, Spain.",64
Joventut Badalona,3445289,"Club Joventut de Badalona, S.A.D. (Catalan pronunciation: [ˈkɫub ʒuβənˈtud bəðəˈɫonə]), Divina Seguros Joventut for sponsorship reasons, is a Spanish professional basketball club based in Badalona, Spain, playing in the Asociación de Clubs de Baloncesto (ACB). Known to their fans as La Penya (in English, The Club), it is one of only three teams that have never been relegated from the top division of the Spanish League. The only other two are Real Madrid and Estudiantes. In 1994, Badalona was the champion of the FIBA European Champions' Cup, which is now called the EuroLeague.
Well-known players have included: Jordi Villacampa, Rafael Jofresa, Raül López, Rudy Fernández, and Ricky Rubio.",3
Spain men's national wheelchair basketball team,41157577,"Spain men's national wheelchair basketball team has represented Spain at the IWBF European Championships, IWBF World Championships and at the Paralympic Games. The team won a bronze at the 2013 European Championships. They finished fifth at the 2012 Summer Paralympics, and sixth at the 1992 Summer Paralympics. Spain also has a men's national under-22 team and under-23 team. The under-23 team finished second at the 2009 Paris European Championships.
",44
Galatasaray S.K. (wheelchair basketball),19061905,"Galatasaray Wheelchair Basketball Team is the wheelchair basketball section of Galatasaray SK, a major sports club in Istanbul, Turkey. Galatasaray play matches in 2.200-seat arena, called the Ahmet Cömert Sport Hall.




",80
Turkey men's national wheelchair basketball team,32289134,"The Turkey Men's National Wheelchair Basketball Team is the wheelchair basketball side that represents Turkey in international competitions for men. The team is nicknamed ""12 Cesur Yürek"" (lierally ""12 Brave Hearts"").",57
Turkey women's national wheelchair basketball team,40521711,"The Turkey Women's National Wheelchair Basketball Team (Turkish: Türkiye Tekerlekli Sandalye Basketbol Kadın Milli Takımı) is the wheelchair basketball side that represents Turkey in international competitions for women.
The national team ranked sixth at the Women's European Wheelchair Basketball Championship held on June 28-July 8, 2013 in Frankfurt, Germany after losing to Spain with 39-59 in the play-offs.",31
Australia women's national wheelchair basketball team,32339793,"The Australia women's national wheelchair basketball team is the women's wheelchair basketball side that represents Australia in international competitions. The team is known as the Gliders. The team hasn't won a gold medal for Australia since it began competing at the 1992 Summer Paralympics, however it has won either the silver or bronze medal since the 2000 Summer Paralympics held in Sydney. Gliders finished 6th at the 2014 Women's World Wheelchair Basketball Championship but did not qualify for the 2016 Summer Paralympics.
",65
Australia women's national wheelchair basketball team at the 2012 Summer Paralympics,38371899,"The 2012 Australian women's national wheelchair basketball team, known as the Gliders, was a wheelchair basketball team that played in the 2012 Summer Paralympics in London. The team of twelve included nine Paralympic veterans with fifteen Paralympic Games between them: Bridie Kean, Amanda Carter, Sarah Stewart, Tina McKenzie, Kylie Gauci, Katie Hill, Cobi Crispin, Clare Nott and Shelley Chaplin. There were three newcomers playing in their first Paralympics: Amber Merritt, Sarah Vinci and Leanne Del Toso. Carter returned to the Gliders' line up after being sidelined by a crippling elbow injury at the 2000 Summer Paralympics in Sydney. The Gliders had won silver in Sydney and the 2004 Summer Paralympics in Athens, but had never won gold.
The first stage of the Paralympic competition was the group stage, a round-robin tournament. The Gliders faced a formidable task just to make the finals, as their pool included Brazil, Great Britain, Canada and the Netherlands. Canada had beaten the Gliders in 2010, and the Netherlands was rated as one of the competition's best teams. After a narrow victory over Brazil, and an easier one against Great Britain, the Gliders were again defeated by Canada, but won their final match against the Netherlands to finish at the top of their pool. The Gliders went on to win the quarterfinal against Mexico and the semifinal against the United States, but lost to Germany in the final, winning silver.",85
National Wheelchair Basketball League (Australia),33437223,The National Wheelchair Basketball League (NWBL) is Australia's premier wheelchair basketball league. It was established in 1988.,28
Women's National Wheelchair Basketball League,43347389,"The Australia Women's National Wheelchair Basketball League (WNWBL) is a women's semi-professional wheelchair basketball league in Australia.




",89
Zipora Rubin-Rosenbaum,31599918,"Zipora Rubin-Rosenbaum (born 1946) is an Israeli athlete who has won 30 Paralympic medals. She has represented Israel at the Summer Paralympic Games seven times and has competed in athletics, swimming and table tennis at the Games.",65
UNES FC Barcelona,3607699,"UNES FC Barcelona is a Spanish wheelchair basketball team. It is part of both the FC Barcelona family and the UNES Unió Esportiva.
",23
BSR Valladolid,44839792,"BSR Valladolid, more commonly known by its sponsorship naming Fundación Grupo Norte, is a wheelchair basketball team based in Valladolid, Castile and Léon, Spain.
",26
CD Ilunion,44839033,"Club Deportivo Ilunion, formerly known as Club Deportivo Fundosa ONCE, is a wheelchair basketball team based in Madrid, Spain.
",20
CP Mideba,44845928,"Club Polideportivo Minusválidos Deportistas de Badajoz, more commonly known as Mideba Extremadura, is a wheelchair basketball team based in Badajoz, Extremadura, Spain.",27
Joventut Badalona,3445289,"Club Joventut de Badalona, S.A.D. (Catalan pronunciation: [ˈkɫub ʒuβənˈtud bəðəˈɫonə]), Divina Seguros Joventut for sponsorship reasons, is a Spanish professional basketball club based in Badalona, Spain, playing in the Asociación de Clubs de Baloncesto (ACB). Known to their fans as La Penya (in English, The Club), it is one of only three teams that have never been relegated from the top division of the Spanish League. The only other two are Real Madrid and Estudiantes. In 1994, Badalona was the champion of the FIBA European Champions' Cup, which is now called the EuroLeague.
Well-known players have included: Jordi Villacampa, Rafael Jofresa, Raül López, Rudy Fernández, and Ricky Rubio.",40
Spain men's national wheelchair basketball team,41157577,"Spain men's national wheelchair basketball team has represented Spain at the IWBF European Championships, IWBF World Championships and at the Paralympic Games. The team won a bronze at the 2013 European Championships. They finished fifth at the 2012 Summer Paralympics, and sixth at the 1992 Summer Paralympics. Spain also has a men's national under-22 team and under-23 team. The under-23 team finished second at the 2009 Paris European Championships.
",70
Galatasaray S.K. (wheelchair basketball),19061905,"Galatasaray Wheelchair Basketball Team is the wheelchair basketball section of Galatasaray SK, a major sports club in Istanbul, Turkey. Galatasaray play matches in 2.200-seat arena, called the Ahmet Cömert Sport Hall.




",68
Turkey men's national wheelchair basketball team,32289134,"The Turkey Men's National Wheelchair Basketball Team is the wheelchair basketball side that represents Turkey in international competitions for men. The team is nicknamed ""12 Cesur Yürek"" (lierally ""12 Brave Hearts"").",79
Turkey women's national wheelchair basketball team,40521711,"The Turkey Women's National Wheelchair Basketball Team (Turkish: Türkiye Tekerlekli Sandalye Basketbol Kadın Milli Takımı) is the wheelchair basketball side that represents Turkey in international competitions for women.
The national team ranked sixth at the Women's European Wheelchair Basketball Championship held on June 28-July 8, 2013 in Frankfurt, Germany after losing to Spain with 39-59 in the play-offs.",16
Menderes Sports Hall,34055989,"Menderes Sports Hall is a multi-purpose indoor arena located in Adana, situated just next to the 5 Ocak Stadium. It is constructed together with the stadium as a sports complex.

The sports hall has an audience capacity of 2000. It hosts national and international sports events such as basketball, volleyball, wrestling and weightlifting, concerts and congresses among others. The facility contains two wall mounted scoreboards, two locker rooms, a press room, a cafeteria and VIP lounge.
The professional basketball teams of Botaş, Adana Aski and Adanaspor play their Turkish League home matches in the Menderes Sports Hall.
2013 IWBF Men's U23 Wheelchair Basketball World Championship was held in the arena from September 7th to 14th.",50
Wheelchair basketball at the 1996 Summer Paralympics,19209588,Wheelchair basketball at the 1996 Summer Paralympics consisted of men's and women's team events.,41
European Wheelchair Basketball Championship,11862057,"The European Wheelchair Basketball Championship, is the main wheelchair basketball competition contested biennially by national teams governed by IWBF Europe, the European zone within the International Wheelchair Basketball Federation. The European Championship is also a qualifying tournament for the IWBF Wheelchair Basketball World Championships and the Paralympic Games.
The first European Championship for men was held in 1970. The first European Championship for women was held in 1974.",72
2013 IWBF Men's European Championship,40514641,"The 2013 IWBF Men's European Championship was the 21st edition of the European Wheelchair Basketball Championship held in Frankfurt, Germany from 27 June to 8 July 2013.
Nations ranked 1 to 7 are qualified for participation at the 2014 World Championship in Incheon, South Korea.",34
2015 IWBF Men's European Championship,51603414,"The 2015 IWBF Men's European Championship was the 22nd edition of the European Wheelchair Basketball Championship held in Worcester, Great Britain from 28 August to 6 September 2015.
Nations ranked 1 to 5 are qualified for participation at the 2016 Summer Paralympics in Rio de Janeiro, Brazil.",60
2017 IWBF Men's European Championship,54401718,"The 2017 IWBF Men's European Championship was the 23rd edition of the European Wheelchair Basketball Championship held in Tenerife, Spain from 21 June to 30 June 2017.",83
Rollstuhlbasketball-Bundesliga,44639610,The Rollstuhlbasketball-Bundesliga (RBBL) (Wheelchair basketball federal league) is the first division of Wheelchair basketball in Germany.,28
Spanish Wheelchair Basketball League,44839946,"The Spanish Wheelchair Basketball League, in Spanish called División de Honor de Baloncesto en Silla de Ruedas is the top-flight professional league for wheelchair basketball teams in Spain with men and women players. It is governed by the Spanish Sports Federation for People with Physical Disabilities (Spanish: Federación Española de Deportes de Personas con Discapacidad Físicos, FEDDF).
Founded in 1971 as Primera División it changed its name to División de Honor in 1992.



",91
Turkish Wheelchair Basketball Super League,27108277,"The Turkish Wheelchair Basketball Super League (Turkish: Türkiye Tekerlekli Sandalye Basketbol Süper Ligi, TTSB Süper Ligi) is the top-flight professional league for wheelchair basketball teams in Turkey with men and women players. Established in 1997, it is governed by the Turkey Disabled Sports Federation (Turkish: Türkiye Bedensel Engelliler Spor Federasyonu, TBESF).
Ten teams compete annually in the league. The last placed two teams are relegated to a lower league, the Turkish Wheelchair Basketball First League (Turkish: Türkiye Tekerlekli Sandalye Basketbol Birinci Ligi, TTSB 1. Ligi) while the two top ranked teams of the lower league are promoted to the Super League. Galatasaray Wheelchair is with seven consecutive times the most successful team.",47
National Wheelchair Basketball League (Australia),33437223,The National Wheelchair Basketball League (NWBL) is Australia's premier wheelchair basketball league. It was established in 1988.,7
Women's National Wheelchair Basketball League,43347389,"The Australia Women's National Wheelchair Basketball League (WNWBL) is a women's semi-professional wheelchair basketball league in Australia.




",58
Rollstuhlbasketball-Bundesliga,44639610,The Rollstuhlbasketball-Bundesliga (RBBL) (Wheelchair basketball federal league) is the first division of Wheelchair basketball in Germany.,97
Spanish Wheelchair Basketball League,44839946,"The Spanish Wheelchair Basketball League, in Spanish called División de Honor de Baloncesto en Silla de Ruedas is the top-flight professional league for wheelchair basketball teams in Spain with men and women players. It is governed by the Spanish Sports Federation for People with Physical Disabilities (Spanish: Federación Española de Deportes de Personas con Discapacidad Físicos, FEDDF).
Founded in 1971 as Primera División it changed its name to División de Honor in 1992.



",19
Turkish Wheelchair Basketball Super League,27108277,"The Turkish Wheelchair Basketball Super League (Turkish: Türkiye Tekerlekli Sandalye Basketbol Süper Ligi, TTSB Süper Ligi) is the top-flight professional league for wheelchair basketball teams in Turkey with men and women players. Established in 1997, it is governed by the Turkey Disabled Sports Federation (Turkish: Türkiye Bedensel Engelliler Spor Federasyonu, TBESF).
Ten teams compete annually in the league. The last placed two teams are relegated to a lower league, the Turkish Wheelchair Basketball First League (Turkish: Türkiye Tekerlekli Sandalye Basketbol Birinci Ligi, TTSB 1. Ligi) while the two top ranked teams of the lower league are promoted to the Super League. Galatasaray Wheelchair is with seven consecutive times the most successful team.",90
Wheelchair basketball at the 2010 Asian Para Games,32275093,Wheelchair basketball at the 2010 Asian Para Games were held in Guangyao Gymnasium from December 13 to December 18. There were 2 gold medals in this sport.,50
Wheelchair basketball at the 2014 Asian Para Games,44121387,"Wheelchair basketball was one of the 23 sports featured at the 2nd Asian Para Games 2014, which took place in Incheon, South Korea on October 16–24, 2014. The event was held at the 7,406 seat Samsan World Gymnasium.
",62
European Wheelchair Basketball Championship,11862057,"The European Wheelchair Basketball Championship, is the main wheelchair basketball competition contested biennially by national teams governed by IWBF Europe, the European zone within the International Wheelchair Basketball Federation. The European Championship is also a qualifying tournament for the IWBF Wheelchair Basketball World Championships and the Paralympic Games.
The first European Championship for men was held in 1970. The first European Championship for women was held in 1974.",53
2013 IWBF Men's European Championship,40514641,"The 2013 IWBF Men's European Championship was the 21st edition of the European Wheelchair Basketball Championship held in Frankfurt, Germany from 27 June to 8 July 2013.
Nations ranked 1 to 7 are qualified for participation at the 2014 World Championship in Incheon, South Korea.",53
2015 IWBF Men's European Championship,51603414,"The 2015 IWBF Men's European Championship was the 22nd edition of the European Wheelchair Basketball Championship held in Worcester, Great Britain from 28 August to 6 September 2015.
Nations ranked 1 to 5 are qualified for participation at the 2016 Summer Paralympics in Rio de Janeiro, Brazil.",54
2017 IWBF Men's European Championship,54401718,"The 2017 IWBF Men's European Championship was the 23rd edition of the European Wheelchair Basketball Championship held in Tenerife, Spain from 21 June to 30 June 2017.",28
IWBF U23 World Wheelchair Basketball Championship,40493716,"The IWBF U23 World Wheelchair Basketball Championship is an international wheelchair basketball competition contested by the men's and women's under-23 national teams of the members of the International Wheelchair Basketball Federation (IWBF), the sport's global governing body. The event is held every four years.
The first official wheelchair basketball world championship for men under-23 was held in 1997 hosted by Toronto, Canada. Only seven nations took part at the tournament. At the next championship held 2001 in Blumenau, Santa Catarina, Brazil, the number of participating nations were six. The 2005 Championship in Birmingham, United Kingdom became a full tournament attended by twelve nations from four zones.
Junior women under 23 were allowed to play in the men's teams at the third edition of championships in 2005. A bonus of one point was given to the team, which had a female player on the court. However, to develop young women players, it is concluded that separate championships for junior women will be held in the future.",32
2013 IWBF Men's U23 Wheelchair Basketball World Championship,40485299,"The 2013 IWBF Men's U23 World Championship was the fifth edition of the IWBF U23 World Wheelchair Basketball Championship held in Adana, Turkey from 7 to 14 September 2013. The tournament was played in two venues, the Yüreğir Serinevler Arena and the Menderes Sports Hall.",38
Wheelchair basketball at the Summer Paralympics,19216740,"Wheelchair basketball has been contested at the Summer Paralympics since the 1960 Summer Paralympics in Rome.
Winning the Paralympics is considered to be the highest honor in international wheelchair basketball, followed by the World Championships of the International Wheelchair Basketball Federation (IWBF) for men and women and the respective intercontinental championships.
",75
Wheelchair basketball at the 1960 Summer Paralympics,19874650,"Wheelchair basketball at the 1960 Summer Paralympics consisted of two men's tournaments. One for athletes with complete lesion paraplegia, and one for athletes with incomplete paraplegia.",70
Wheelchair basketball at the 1964 Summer Paralympics,19860904,Wheelchair basketball at the 1964 Summer Paralympics consisted of two events for men.,32
Wheelchair basketball at the 1968 Summer Paralympics,19848290,"Wheelchair basketball at the 1968 Summer Paralympics consisted of men's and women's team events.
The original wheelchair basketball classification system in 1966 had 5 classes: A, B, C, D, S. Each class was worth so many points. A was worth 1, B and C were worth 2. D and S were worth 3 points. A team could have a maximum of 12 points on the floor. This system was the one in place for the 1968 Summer Paralympics. Class A was for T1-T9 complete. Class B was for T1-T9 incomplete. Class C was for T10-L2 complete. Class D was for T10-L2 incomplete. Class S was for Cauda equina paralysis.",65
Wheelchair basketball at the 1972 Summer Paralympics,19827445,"Wheelchair basketball at the 1972 Summer Paralympics consisted of men's and women's team events.

From 1969 to 1973, a classification system designed by Australian Dr. Bedwell was used. This system used some muscle testing to determine which class incomplete paraplegics should be classified in. It used a point system based on the ISMGF classification system. Class IA, IB and IC were worth 1 point. Class II for people with lesions between T1-T5 and no balance were also worth 1 point. Class III for people with lesions at T6-T10 and have fair balance were worth 1 point. Class IV was for people with lesions at T11-L3 and good trunk muscles. They were worth 2 points. Class V was for people with lesions at L4 to L5 with good leg muscles. Class IV was for people with lesions at S1-S4 with good leg muscles. Class V and IV were worth 3 points. The Daniels/Worthington muscle test was used to determine who was in class V and who was class IV. Paraplegics with 61 to 80 points on this scale were not eligible. A team could have a maximum of 11 points on the floor.",99
Wheelchair basketball at the 1976 Summer Paralympics,19812893,Wheelchair basketball at the 1976 Summer Paralympics consisted of men's and women's team events.,10
Wheelchair basketball at the 1980 Summer Paralympics,19788972,Wheelchair basketball at the 1980 Summer Paralympics consisted of men's and women's team events.,5
Wheelchair basketball at the 1984 Summer Paralympics,19738480,"Wheelchair basketball at the 1984 Summer Paralympics consisted of men's and women's team events.
",84
Wheelchair basketball at the 1988 Summer Paralympics,19634629,"Wheelchair basketball at the 1988 Summer Paralympics consisted of men's and women's team events.
At the 1988 Games, Les Autres sportspeople were not eligible to participate in wheelchair basketball.",100
Wheelchair basketball at the 1992 Summer Paralympics,19599851,Wheelchair basketball at the 1992 Summer Paralympics consisted of men's and women's team events.,24
Wheelchair basketball at the 1996 Summer Paralympics,19209588,Wheelchair basketball at the 1996 Summer Paralympics consisted of men's and women's team events.,82
Wheelchair basketball at the 2000 Summer Paralympics,18781865,Wheelchair basketball at the 2000 Summer Paralympics consisted of men's and women's team events.,57
Wheelchair basketball at the 2004 Summer Paralympics,1011335,Wheelchair Basketball at the 2004 Summer Paralympics was staged in the Olympic Indoor Hall from September 18 to September 28.,11
Wheelchair basketball at the 2008 Summer Paralympics,18403959,"The Wheelchair Basketball competition of the 2008 Summer Paralympics is held in Beijing National Indoor Stadium and Beijing Science and Technology University Gymnasium between September 7, 2008 and September 16, 2008. There will be two medals awarded in this event.
",96
Wheelchair basketball at the 2012 Summer Paralympics,31078078,"Wheelchair basketball at the 2012 Summer Paralympics was held from 30 August to 8 September. Competitions were held at the newly built Basketball Arena, which seated 10,000 spectators, and The O2 Arena (renamed ""North Greenwich Arena"" during the games due to sponsorship rules). Australia were the defending champions of the men's championship, while the United States were the defending champions of the women's championship.",59
Wheelchair basketball at the 2016 Summer Paralympics,47528412,Wheelchair basketball at the 2016 Summer Paralympics will be held from 8 to 17 September at Carioca Arena 1 and the Rio Olympic Arena in Rio de Janeiro.,3
2011 Women's U25 Wheelchair Basketball World Championship,51760128,"The 2011 Women's U25 Wheelchair Basketball World Championship was held at the Walker Complex at Brock University in St. Catharines, Ontario, Canada, from 15 to 21 July 2011. It was the first ever wheelchair basketball world championship for women in the under-25 age category. The event was run by Wheelchair Basketball Canada in partnership with Brock University. Eight nations competed: Australia, Canada, Germany, Great Britain, Japan, Mexico, South Africa and the United States. The event took the form of a round-robin tournament, with each team playing all the other teams once. The top eight teams then went into quarter-finals, while the bottom two played each other for world ranking. The winners of the semi-finals faced each other in the final, while the losers played for bronze. The championship was won by the United States; Australia came second and Great Britain third.",92
2015 Women's U25 Wheelchair Basketball World Championship,46973310,"The 2015 Women's U25 Wheelchair Basketball World Championship was held at the China Disability Sports Training Centre in Beijing from 30 June to 6 July 2015. Six nations competed: Australia, Canada, China, Germany, Great Britain and Japan. The event took the form of a Round-robin tournament, with each team playing all the other teams once. The top four teams then went into semi-finals, while the bottom two played each other for world ranking. The winners of the semi-finals faced each other in the final, while the losers played for bronze. The championship was won by Team Great Britain. Australia came second and China third.",97
Wheelchair Basketball World Championship,11861971,"The IWBF World Wheelchair Basketball Championship is an international wheelchair basketball competition contested by the men's and the women's national teams of the members of the International Wheelchair Basketball Federation (IWBF), the sport's global governing body.
The first unofficial Wheelchair Basketball World Championships for men was held in 1973, with Bruges, Belgium being the first host city. The unofficial world championship for men was won by Great Britain, with a team that included Philip Craven, who would later become the President of the International Paralympic Committee (IPC). Bruges, Belgium also hosted the first official World Championships, known as the Gold Cup tournament, in 1975.
The men's world championships has been won 6 times by the United States, twice by Australia and once each by Great Britain (unofficial Championship 1973), Israel, France and Canada. Wheelchair basketball world championships for women have been held since 1990. In the first 6 women's world championships, Canada has won four world titles, and the United States two world titles.
",23
2014 Men's World Wheelchair Basketball Championship,43272671,"The 2014 Men's Wheelchair Basketball World Championship was the 12th edition of the Wheelchair Basketball World Championship. It was hosted in Incheon, South Korea. Australia won its second title in a row.
",35
2010 Wheelchair Basketball World Championship,31120596,"The 2010 Wheelchair Basketball World Championship was held in Birmingham, Great Britain from 7 to 17 July 2010. Both the men's and women's tournaments were held. The Championships was a qualifying event for the London 2012 Paralympic Games.
",48
Zipora Rubin-Rosenbaum,31599918,"Zipora Rubin-Rosenbaum (born 1946) is an Israeli athlete who has won 30 Paralympic medals. She has represented Israel at the Summer Paralympic Games seven times and has competed in athletics, swimming and table tennis at the Games.",93
Michal Escapa,32314212,"Michal Escapa (Hebrew: מיכל אסקפה‎) is a former Israeli Paralympic champion.
Escapa was born in France, immigrating to Israel as an orphan after the Second World War. At the age of 15 she was affected by polio and paralyzed in both legs and one of her arms. She studied in Jerusalem and was certified as an accountant, moving in 1962 to live in Holon and practice sports at the Israel Sports Center for the Disabled.
The national champion in wheelchair table tennis, Escapa competed in the Stoke Mandeville Games and in all four Summer Paralympics from 1964 to 1976. An accomplished table tennis player, she won a medal in each games: Gold in 1976, silver in 1968 and bronze in 1964 and 1972. During the 1972 Summer Paralympics she also competed in archery, finishing before last.",53
Justin Eveson,33029291,"Justin Cain Eveson, OAM (born 10 June 1980) is an Australian swimmer and wheelchair basketball player who has won Paralympic medals in both sports.",88
Cem Gezinci,36898560,"Cem Gezinci (born 1 September 1985 in Istanbul, Turkey) is a Turkish wheelchair basketball player and Paralympian. He is a 4.5 point player competing for Beşiktaş, and is part of Turkey men's national wheelchair basketball team.
Cem plays in the national team, which qualified to the 2016 Summer Paralympics in Rio de Janeiro, Brazil.",16
Tristan Knowles,33029319,"Tristan Malcolm Knowles, OAM (born 25 April 1983) is an Australian wheelchair basketball player and won a gold medal at the 2008 Beijing Paralympics.",64
Mustafa Korkmaz,51584470,"Mustafa Korkmaz (January 18, 1988) is a Turkish descent Dutch wheelchair basketball player and Paralympian. He competes for the Netherlands men's national wheelchair basketball team at the 2016 Summer Paralympics in Rio de Janeiro, Brazil.
He played in the 2012–13 season of the Turkish Wheelchair Basketball Super League for Galatasaray SK wheelchair basketball team in Istanbul, Turkey.",66
Troy Sachs,33029351,"Troy Sachs, OAM (born 3 December 1975) is an Australian wheelchair basketball player. He competed at five Paralympic Games from 1992 to 2008, where he won three medals. Sachs won two national league championships in Australia, three national league championships in the United States, one national league championship in Germany, and an André Vergauwen Cup championship with Italian club Tabu Cantu.",48
Matt Scott (basketball),27201278,"Matt Scott (born March 27, 1985) is an American wheelchair basketball player.",38
UNES FC Barcelona,3607699,"UNES FC Barcelona is a Spanish wheelchair basketball team. It is part of both the FC Barcelona family and the UNES Unió Esportiva.
",94
BSR Valladolid,44839792,"BSR Valladolid, more commonly known by its sponsorship naming Fundación Grupo Norte, is a wheelchair basketball team based in Valladolid, Castile and Léon, Spain.
",60
